order,block_display,block_file,break_display,valmean,valence,scenestim,arousal,outliers,blocknum,arousalmean,Introduction_Loop.thisRepN,Introduction_Loop.thisTrialN,Introduction_Loop.thisN,Introduction_Loop.thisIndex,block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,Trial_Loop.thisRepN,Trial_Loop.thisTrialN,Trial_Loop.thisN,Trial_Loop.thisIndex,Break_loop.thisRepN,Break_loop.thisTrialN,Break_loop.thisN,Break_loop.thisIndex,block_key.keys,block_key.rt,Break_key.keys,Break_key.rt,date,frameRate,expName,Participant,Dominant Eye,
0,inst_2,procedure\0.csv,break,6.71,Positive,2030.bmp,High,0,0,4.54,,,,,0,0,0,0,0,0,0,0,,,,,o,0.448780753766,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
0,inst_2,procedure\0.csv,break,1.95,Negative,2205.bmp,High,0,0,4.53,,,,,0,0,0,0,0,1,1,2,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
0,inst_2,procedure\0.csv,break,6.88,Positive,2655.bmp,High,0,0,4.57,,,,,0,0,0,0,0,2,2,3,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
0,inst_2,procedure\0.csv,break,3.34,Negative,2120.bmp,High,0,0,5.18,,,,,0,0,0,0,0,3,3,1,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
0,inst_2,procedure\0.csv,break,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,o,1468.37038872,2016_Jun_29_0939,120.012587949,CGP,001,Right,
0,inst_2,procedure\0.csv,break,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,7.77,Positive,2550.bmp,High,0,1,4.68,,,,,0,1,1,1,0,0,0,2,,,,,o,0.362533656531,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,1.92,Negative,3180.bmp,High,0,1,5.77,,,,,0,1,1,1,0,1,1,3,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,7.35,Positive,2208.bmp,High,0,1,5.68,,,,,0,1,1,1,0,2,2,0,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,5.03,Negative,2278.bmp,High,1,1,4.93,,,,,0,1,1,1,0,3,3,1,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,,,,,,,,,,,,0,1,1,1,,,,,0,0,0,0,,,o,16.2021199782,2016_Jun_29_0939,120.012587949,CGP,001,Right,
1,cont_inst,procedure\1.csv,break,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,3.36,Negative,2278.bmp,High,0,2,4.55,,,,,0,2,2,2,0,0,0,1,,,,,o,0.445609725546,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,1.79,Negative,2095.bmp,High,0,2,5.25,,,,,0,2,2,2,0,1,1,0,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,3.04,Negative,2691.bmp,High,1,2,5.85,,,,,0,2,2,2,0,2,2,3,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,2.2,Negative,2375.1.bmp,High,0,2,4.88,,,,,0,2,2,2,0,3,3,2,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,,,,,,,,,,,,0,2,2,2,,,,,0,0,0,0,,,None,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
2,cont_inst,procedure\2.csv,blank,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,5.03,Negative,2278.bmp,High,1,1,4.93,,,,,0,3,3,3,0,0,0,1,,,,,o,11.0697731378,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,1.92,Negative,3180.bmp,High,0,1,5.77,,,,,0,3,3,3,0,1,1,3,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,7.77,Positive,2550.bmp,High,0,1,4.68,,,,,0,3,3,3,0,2,2,2,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,7.35,Positive,2208.bmp,High,0,1,5.68,,,,,0,3,3,3,0,3,3,0,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,,,,,,,,,,,,0,3,3,3,,,,,0,0,0,0,,,None,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
3,cont_inst,procedure\3.csv,blank,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2016_Jun_29_0939,120.012587949,CGP,001,Right,
