scenestim,valence,valmean,arousal,arousalmean,outliers,blocknum
2030.bmp,Positive,6.71,High,4.54,0,0
2120.bmp,Negative,3.34,High,5.18,0,0
2205.bmp,Negative,1.95,High,4.53,0,0
2655.bmp,Positive,6.88,High,4.57,0,0
2703.bmp,Negative,1.91,High,5.78,0,0
2800.bmp,Negative,1.78,High,5.49,0,0
3181.bmp,Negative,2.3,High,5.06,0,0
3301.bmp,Negative,1.8,High,5.21,0,0
5600.bmp,Positive,7.57,High,5.19,0,0
8090.bmp,Positive,7.02,High,5.71,0,0
8120.bmp,Positive,7.09,High,4.85,0,0
8503.bmp,Positive,7.02,High,5.22,1,0
9041.bmp,Negative,2.98,High,4.64,0,0
9340.bmp,Negative,2.41,High,5.16,0,0
1910.bmp,Positive,6.71,Low,3.29,0,0
2360.bmp,Positive,7.7,Low,3.66,0,0
2560.bmp,Positive,6.34,Low,3.49,0,0
8330.bmp,Positive,6.65,Low,4.06,0,0
9220.bmp,Negative,2.06,Low,4,0,0
9341.bmp,Negative,3.38,Low,4.5,0,0
