scenestim,valence,valmean,arousal,arousalmean,outliers,blocknum
2208.bmp,Positive,7.35,High,5.68,0,1
2550.bmp,Positive,7.77,High,4.68,0,1
3180.bmp,Negative,1.92,High,5.77,0,1
4640.bmp,Positive,7.18,High,5.52,0,1
6311.bmp,Negative,2.58,High,4.95,1,1
6838.bmp,Negative,2.45,High,5.8,0,1
7480.bmp,Positive,7.08,High,4.55,0,1
8280.bmp,Positive,6.38,High,5.05,0,1
8371.bmp,Positive,6.82,High,5.12,0,1
9040.bmp,Negative,1.67,High,5.82,0,1
9421.bmp,Negative,2.21,High,5.04,0,1
9435.bmp,Negative,2.27,High,5,0,1
9560.bmp,Negative,2.12,High,5.5,0,1
9830.bmp,Negative,2.54,High,4.86,0,1
2311.bmp,Positive,7.54,Low,4.42,0,1
2501.bmp,Positive,6.89,Low,3.09,0,1
2650.bmp,Positive,7.27,Low,4.28,0,1
2750.bmp,Negative,2.56,Low,4.31,0,1
5750.bmp,Positive,6.6,Low,3.14,1,1
9101.bmp,Negative,3.62,Low,4.02,1,1
