scenestim,valence,valmean,arousal,arousalmean,outliers,blocknum
2095.bmp,Negative,1.79,High,5.25,0,2
2278.bmp,Negative,3.36,High,4.55,0,2
2375.1.bmp,Negative,2.2,High,4.88,0,2
2691.bmp,Negative,3.04,High,5.85,1,2
2799.bmp,Negative,2.42,High,5.02,0,2
2900.bmp,Negative,2.45,High,5.09,0,2
3230.bmp,Negative,2.02,High,5.41,0,2
4599.bmp,Positive,7.12,High,5.69,0,2
4617.bmp,Positive,6.6,High,5.19,0,2
4653.bmp,Positive,6.56,High,5.83,0,2
5455.bmp,Neutral,5.79,High,4.56,0,2
8041.bmp,Positive,6.65,High,5.49,0,2
8380.bmp,Positive,7.56,High,5.74,0,2
8420.bmp,Positive,7.76,High,5.56,0,2
9530.bmp,Negative,2.93,High,5.2,0,2
1601.bmp,Positive,6.86,Low,3.92,1,2
2190.bmp,Neutral,4.83,Low,2.41,0,2
2210.bmp,Neutral,4.38,Low,3.56,0,2
2250.bmp,Positive,6.64,Low,4.19,0,2
2260.bmp,Positive,8.06,Low,4.26,0,2
2272.bmp,Neutral,4.5,Low,3.74,0,2
2410.bmp,Neutral,4.62,Low,4.13,0,2
2455.bmp,Negative,2.96,Low,4.46,0,2
2579.bmp,Neutral,5.53,Low,3.85,0,2
2590.bmp,Negative,3.26,Low,3.93,0,2
2745.1.bmp,Neutral,5.31,Low,3.26,0,2
2810.bmp,Neutral,4.31,Low,4.47,0,2
2870.bmp,Neutral,5.31,Low,3.01,0,2
7234.bmp,Neutral,4.23,Low,2.96,0,2
8465.bmp,Positive,5.96,Low,1.49,0,2
